,1,2,3,4,5,count
0,333851,345430,337604,359320,385079,44
1,297766,332613,317075,354729,394158,60
2,319920,334663,307817,359267,375797,49
3,320741,316253,311376,274864,394760,129
4,316099,312959,341467,333567,412157,39
5,319650,301522,318793,279425,311465,22
6,277018,345920,339926,420110,371431,513
7,304383,338553,353145,321354,416663,196
8,311899,398685,392784,354675,378409,263
9,343719,376155,356063,311867,413906,170
10,319297,353604,306469,368489,397699,98
11,343181,346294,376316,303749,371582,379
12,288722,377627,379961,354629,433572,1600
13,150076,333594,278984,250801,183291,2
14,325882,277468,362677,300997,370531,31
15,232655,361121,393710,387294,327326,5
16,251641,340043,346609,311038,385479,1190
17,341570,341353,354162,396608,362987,151
18,319018,296413,336671,338331,395534,108
19,312412,315712,316088,375939,406071,122
20,308477,329598,281675,375425,394850,75
21,282623,301748,315242,337645,413160,84
22,289666,327229,332192,299543,401348,10
23,293096,326895,384584,353922,342766,24
24,284516,368185,371290,375399,408913,1375
25,276875,340368,332834,398196,265411,7
26,300711,334380,301311,297719,379576,1032
27,273342,422187,379822,356518,391047,1429
28,276629,342968,310463,333228,379595,1323
29,314959,334007,302333,378781,393999,691
